;Formula;Format;Comments;Code;Summary;"DCA Formula";"Use Workflow";"Storage Format";"Referenced By";"Cell Count";"Size (GB)";"Clean Cells";Id;AutoCalculation;"Last Update";"Obfuscation Formula";"Stable View Formula";"User View Formula";"Error Comment"
"Display Name";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;Input;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'M05.02.08 REPORT Детализация PL с версиями'.МВЗ, 'M05.02.08 REPORT Детализация PL с версиями'.ЦФО, 'M05.03.05 REPORT Детализация CF с версиями'.'МВЗ_текст', 'M05.03.05 REPORT Детализация CF с версиями'.'ЦФО name', 'Импорт HR PL'.'Распознавание ЦФО', 'Импорт HR CF'.'cfo_text', 'Импорт Расходы по ЦФО OPEX ручной ввод'.'ЦФО текст', 'Импорт Расходы по ЦФО OPEX ручной ввод (ЦФО)'.'ЦФО текст', 'M02.02.06 IMPORT 1С:УХ ручной слой'.'ЦФО справочно', 'M02.02.06 IMPORT 1С:УХ ручной слой'.'МВЗ справочно', 'M02.01.02 Импорт факта (ручной)'.'ЦФО распознано', 'M02.01.02 Импорт факта (ручной)'.'МВЗ распознано'";1018;0;;129000000310;true;;;;;
item;"ITEM('L2 ЦФО')";"{""dataType"":""ENTITY"",""hierarchyEntityLongId"":101000000061,""horizontalAlign"":""LEFT"",""verticalAlign"":""CENTER"",""selectiveAccessApplied"":false,""dependentApplied"":false,""dependentEntityLongId"":null,""dimensionContext"":false}";;;Formula;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"Parent, Name, Code, 'Импорт Расходы по ЦФО OPEX ручной ввод (ЦФО)'.ЦФО";1018;7.5846910476685E-6;;129000000311;true;;;ITEM('101000000061');"ITEM('L2 ЦФО')";
"Тип Грейда";;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;1018;0;;129000000312;true;;;;;
"Технический блок";"'Тип ЦФО' = ""Технический блок""";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;1018;1.8961727619171E-6;;129000000391;true;;;"'129000000306' = ""Технический блок""";"'Тип ЦФО' = ""Технический блок""";
"Цифровая академия?";;"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;1018;1.8961727619171E-6;;129000000313;true;;;;;
"p Активные МВЗ из ТД";"SUM('M02.02.11 IMPORT План расходов ТД CRM и EG'.'1', 'M02.02.11 IMPORT План расходов ТД CRM и EG'.'МВЗ') + SUM('M01.04.38 MAP БК - статьи ЕКДР, PL и CF (Выручка и Себест)'.'1', 'M01.04.38 MAP БК - статьи ЕКДР, PL и CF (Выручка и Себест)'.'МВЗ (ЦФО) для исходных данных') + SUMIF('M03.01.01 Свод по выручке'.'ВВ Итого', 'M03.01.01 Свод по выручке'.'МВЗ', 'M03.01.01 Свод по выручке'.'Есть данные?') > 0";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"'Фильтр Активные МВЗ из ТД', Variables.'Количество активных ЦФО'";1018;1.8961727619171E-6;;129000000868;true;;;"SUM( '1071000016030',  '1071000014382') + 
SUM( '279000016132',  '279000016131' ) + 
SUMIF( '1033000013344',  '1033000013364',  '1033000015692') > 0";"SUM('M02.02.11 IMPORT План расходов ТД CRM и EG'.'1', 'M02.02.11 IMPORT План расходов ТД CRM и EG'.'МВЗ') + SUM('M01.04.38 MAP БК - статьи ЕКДР, PL и CF (Выручка и Себест)'.'1', 'M01.04.38 MAP БК - статьи ЕКДР, PL и CF (Выручка и Себест)'.'МВЗ (ЦФО) для исходных данных') + SUMIF('M03.01.01 Свод по выручке'.'ВВ Итого', 'M03.01.01 Свод по выручке'.'МВЗ', 'M03.01.01 Свод по выручке'.'Есть данные?') > 0";
"Фильтр Активные МВЗ из ТД";"'p Активные МВЗ из ТД' AND NOT IN_DIMENSION('s ЦФО Активные МВЗ из ТД') OR NOT 'p Активные МВЗ из ТД' AND IN_DIMENSION('s ЦФО Активные МВЗ из ТД')";"{""dataType"":""BOOLEAN"",""horizontalAlign"":""CENTER"",""verticalAlign"":""CENTER""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;1018;1.8961727619171E-6;;129000000869;true;;;"('129000000868' AND NOT IN_DIMENSION( '109000000197' )) OR (NOT '129000000868' AND IN_DIMENSION( '109000000197' ))";"'p Активные МВЗ из ТД' AND NOT IN_DIMENSION('s ЦФО Активные МВЗ из ТД') OR NOT 'p Активные МВЗ из ТД' AND IN_DIMENSION('s ЦФО Активные МВЗ из ТД')";
1;1;"{""dataType"":""NUMBER"",""minimumSignificantDigits"":-1,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""SPACE"",""negativeNumberNotation"":""MINUS_SIGN"",""zeroFormat"":""ZERO"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""currencyCode"":null,""customUnits"":null,""comparisonIncrease"":""GOOD"",""nanApplied"":false,""nanDisplayValue"":""NaN"",""hasRounding"":true,""maximumSignificantAllDigits"":-1,""maximumSignificantIntegerDigits"":-1,""maximumSignificantDecimalDigits"":-1,""horizontalAlign"":""RIGHT"",""verticalAlign"":""CENTER"",""inputFormatSettingApplied"":false,""sendFormatSettingApplied"":false,""insignificantIntegerRanks"":-1,""significantDecimalRanks"":0,""savingFormatSettingApplied"":false,""savingFormatSettings"":{""decimalPlaces"":15}}";;;Sum;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";"Variables.'Количество активных ЦФО'";1018;7.5846910476685E-6;;129000000872;true;;;1;1;
"L BE";;;МДП;;;;;;;255;6.9662928581238E-7;;101000000005;;;;;;
Комментарий;;"{""dataType"":""TEXT"",""textType"":""GENERAL"",""maxLength"":0,""lineBreak"":true,""wordWrap"":false,""ignoreTextIndent"":false,""horizontalAlign"":""LEFT"",""verticalAlign"":""TOP""}";;;None;;true;"{""storageType"":""PLANAR"",""recalculateAll"":true}";;17;0;;129000000747;true;;;;;
