ListsSubsets;"Full Name";"Cell Count"
"s L2 ЮЛ амортизация 35 блок";"'L2 ЮЛ'.'s L2 ЮЛ амортизация 35 блок'";13
"s L2 ЮЛ Спецпроекты";"'L2 ЮЛ'.'s L2 ЮЛ Спецпроекты'";2
"s L2 ЮЛ оба домена";"'L2 ЮЛ'.'s L2 ЮЛ оба домена'";28
"s L2 ЮЛ для налогов";"'L2 ЮЛ'.'s L2 ЮЛ для налогов'";2
"s Коммерческие проекты";"'L Типы проектов'.'s Коммерческие проекты'";55
"s MAP статей выручки и себест по БК (БЕ Сервионика)";"'L Продукты'.'s MAP статей выручки и себест по БК (БЕ Сервионика)'";10
"s.PL";"'L Источники данных tech'.'s.PL'";25
"s.CF";"'L Источники данных tech'.'s.CF'";17
"s. Источники данных Актуальные";"'L Источники данных tech'.'s. Источники данных Актуальные'";33
"sL Направление Банка";"'L Проекты Мультикарты'.'sL Направление Банка'";8
"s НМА Капитализация";"'L НМА'.'s НМА Капитализация'";89
